user_id,event_datetime,product_id,sales_value
7359093a-f84a-40c0-a8dc-5434a5ba2074,28/5/2020,8,598.56
060e05e7-b798-4a18-b6c3-07a23d9a043b,23/5/2020,7,244.96
0c051551-ce15-46e9-a3ad-2b0296019bdc,23/5/2020,8,128.15
37df4647-e49d-4687-b7b8-9e430675f452,26/5/2020,5,583.71
a84073f5-1250-4017-8fab-58c0d34d3b28,30/5/2020,2,700.85
9c73e538-2121-4a0e-ba6a-16a7d6211f4f,23/5/2020,6,639.96
c0016fda-4d9f-41ff-b110-8c9d82c6a7c1,28/5/2020,4,617.02
c5c118b6-d9d2-4177-990b-b59ae4fe2b01,22/5/2020,9,300.72
cf43cb34-d3d3-480a-82b8-f9bd77662939,26/5/2020,5,732.33
89d96188-a811-4189-9012-0299522af1d3,20/5/2020,3,236.93
baeac879-b9e6-4ee6-b5eb-332af44513e4,20/5/2020,8,352.08
7a80851b-825f-44be-b67e-6fe859bb9688,20/5/2020,0,622.50
72d98c65-8887-4f83-a0a1-2e24fc1d9bd4,27/5/2020,2,303.34
34ef2d5c-a9f6-4f24-89a0-0464fd55635b,26/5/2020,2,851.58
ef1f853d-7daf-4637-adda-f99e1417c88d,21/5/2020,5,480.77
a2dadfdd-79e5-4368-897b-e782a95f6aaa,30/5/2020,9,155.72
0221a21d-79dc-4220-8669-fe82ed9c0d63,24/5/2020,6,135.20
cd13c1ba-16f8-473a-b69d-a424d9a8105e,20/5/2020,7,434.56
542aabee-9ebc-49c7-873f-5159f86e156a,23/5/2020,3,103.58
97057497-ed33-4812-8ffd-f460af8000c1,20/5/2020,9,245.88
62f89b65-b735-491e-a7cb-57556a2c1ef4,24/5/2020,5,456.42
bd2a5240-59ec-4e0f-b328-5416f1803be4,25/5/2020,3,489.16
8ef27fc6-befa-4522-bb42-9f4d1893c54c,30/5/2020,4,334.57
a130d9d9-49d4-48c2-8ba4-b6a25bd2f269,24/5/2020,0,300.42
bc764b00-a085-4792-ad0b-f35040fa257e,25/5/2020,9,683.58
acc7f549-36bc-40d9-bca6-0f64bdad53e6,24/5/2020,8,231.94
ed99fabb-0dda-4831-81c8-5015ee90dcfd,22/5/2020,2,594.44
cb197f9b-0ece-4cb2-b732-f2aba730b93c,28/5/2020,6,285.06
71267a1c-be6b-46ab-9dbc-deebe618d780,24/5/2020,2,184.50
211a0c16-9968-4404-be91-b245a6cc8bf7,21/5/2020,9,971.75
